'%:YY?@b+M  00000000000000000000000000000031  9999777777770000AAAA0000444433332222EEEE333399996666
'z4P|n>\to  0000000000000000000000000000003B  DDDD5555AAAA3333CCCC222233330000111133335555EEEE4444
+2A^xP5dA-  0000000000000000000000000000003E  CCCCBBBBFFFFFFFF99995555AAAAAAAA77771111000033333333
-_) R'4T<"  0000000000000000000000000000003A  BBBBCCCCEEEECCCCDDDD6666BBBB333377779999222200007777
.\KqT&Z4i4  00000000000000000000000000000020  3333DDDDCCCC888888885555222299993333EEEEFFFF66661111
1 e!og=!hi  00000000000000000000000000000025  3333EEEE88887777CCCCEEEE777733337777DDDDFFFFEEEE2222
9RtsPa gIN  00000000000000000000000000000021  555544440000AAAACCCC8888AAAA55552222DDDDBBBB22226666
Fqy~]OATYw  00000000000000000000000000000022  9999CCCC0000888888884444333355553333BBBB55553333FFFF
GCU4gfl|&!  00000000000000000000000000000036  1111DDDD8888AAAA999999990000333377778888FFFF1111BBBB
N,gk>37c (  00000000000000000000000000000026  DDDD11116666DDDD5555EEEE99996666AAAAAAAA3333EEEEBBBB
Rv]QHo9f6+  00000000000000000000000000000024  99996666BBBB7777444466660000AAAADDDDDDDDAAAAEEEEDDDD
Wj-%?e*2y\  00000000000000000000000000000023  AAAA444477776666FFFF444455550000EEEE88883333FFFFCCCC
ออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออýýýýฤบÝออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออýýýýอล€ÝG2oMVHVK`!  0000000000000000000000000000002E  4444888844448888CCCC1111AAAA555577778888BBBB00003333
R+Sh=Kgd.6  00000000000000000000000000000029  DDDD0000BBBB77770000222200009999AAAADDDDAAAADDDDEEEE
T}# `9Cseu  0000000000000000000000000000002D  4444FFFF777700001111EEEE999944447777444488881111AAAA
j*0`gczW{u  00000000000000000000000000000028  9999DDDDCCCC8888AAAA999911111111BBBB66667777BBBB9999
maU!Uo]He&  0000000000000000000000000000002B  AAAA9999BBBB55557777CCCC6666EEEE555566668888FFFF4444
smN$i pU-~  0000000000000000000000000000002C  AAAADDDDEEEE333388885555DDDD3333FFFFEEEE1111CCCC5555
x]w]=Dp6\s  0000000000000000000000000000002A  6666FFFFEEEEBBBBCCCC000033331111666677771111DDDD7777
ออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออýýýýๅฤXÝN(JuG%.`7c  00000000000000000000000000000032  66665555AAAA5555BBBBAAAAEEEE111111119999BBBB6666FFFF
RE%Z{o)9E:  00000000000000000000000000000030  00002222AAAAEEEE444400008888CCCC3333DDDD555511111111
`E$,xR{?Kc  00000000000000000000000000000033  7777AAAA222200008888CCCC3333AAAAFFFFAAAAEEEEEEEECCCC
jzu$Fn3ZN+  00000000000000000000000000000034  55552222EEEE5555BBBBAAAA8888AAAA11110000DDDD9999DDDD
|xaPO\~!V*  00000000000000000000000000000035  EEEE2222EEEEFFFFEEEEBBBB2222BBBB9999AAAA999955552222
ออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออออýýýýฤ4ÝD@v9""8"!`  00000000000000000000000000000038  2222BBBB55552222CCCC555533336666EEEE9999777766669999
OffB8(#k@N  00000000000000000000000000000039  CCCC555555556666DDDDCCCC111111119999DDDD55554444EEEE
[!Nbx&X=+V  0000000000000000000000000000003C  77778888AAAA7777888844446666EEEECCCCBBBBEEEE77775555
p?"\\6:W['  0000000000000000000000000000003D  8888EEEE6666555599992222DDDD2222FFFFEEEE33338888AAAA
